final_pnl,assignments,premium_collected
48978.695638450205,0,153119.5138399759
210685.58350064282,0,314826.4032278738
-33003.3294620084,0,71137.49715880408
-78307.03051713956,0,25833.795267014786
35277.312051933106,0,139416.08035211384
-54899.81625335397,0,49235.12908711463
-74617.67807967657,0,29523.117492167246
-48188.95542058058,0,55951.85730575127
33637.939724293254,0,137778.76619853865
3507056.099998163,0,3610248.8854395337
-33824.5989264567,0,70283.70535453588
-68222.7561409313,0,35918.07060449089
-57324.76283357067,0,46816.063911385754
344086.34267615,0,447806.690512796
-92979.23361084561,0,11145.005292979104
338022.767159293,0,442162.9749810781
-45707.34656750509,0,58433.33649155064
-62749.73415779991,0,41389.90732547164
759991.5605795801,0,864129.1076903226
6626.178678282602,0,110766.73784061061
-59854.37317745147,0,44286.45356553711
699577.561199486,0,803718.3528017541
-38834.09235503703,0,65306.55641274915
-91597.16983890686,0,12543.656907468541
66608.48774764076,0,170570.25677186952
162398.8830939479,0,266539.7049287503
140289.95202144483,0,244430.48587502525
-39999.00430029699,0,64141.815879537025
-95282.18299343236,0,8858.593946906194
95860.51498988157,0,200001.28594527105
-84141.57329917411,0,19999.242536683738
-820.9567685804577,0,103319.8665231745
484216.09462073364,0,588356.2617547984
-67803.25765560471,0,36337.55250090234
-15006.861401208516,0,89132.99582306798
-13270.607354402637,0,90870.21892978316
15799.079993361906,0,119806.4247110925
420479.81302689266,0,524620.606889711
18663.430097000084,0,122804.19657334239
-50209.60631565798,0,53931.22019052226
186076.72425998966,0,290208.181006374
70583.22991720997,0,171944.41796377764
89872.63431434208,0,193998.84390820682
-85800.79187778578,0,18340.03257790243
-7267.999104539922,0,96872.82690677811
-5048.121492723774,0,99092.7004755242
16660.115698225905,0,119924.33689747361
-36169.66336946534,0,67971.16250892272
-38571.99061468778,0,65568.83443172403
76531.40391526313,0,180672.12178421483
80188.45281269855,0,182500.44693088005
353606.66574103554,0,457741.88481906994
-76902.46472406728,0,27238.317874607445
121.6386975962887,0,103904.35362269204
33520.895444892165,0,137658.21254002108
-87607.29563198159,0,16533.531104556198
244119.58262445612,0,348118.3570133
462940.0119557327,0,558087.9861375869
-88166.69613689173,0,15974.130019616226
-71770.12361112967,0,32370.702731616595
-8611.55218047776,0,95529.2557338735
56256.386444177864,0,160397.21299150639
-87008.60014461284,0,17132.163345425863
914639.5144135084,0,1018055.7942734538
29265.88089089971,0,133405.95667660743
-68369.17657780339,0,35769.38432432513
-21631.528628106284,0,82509.29735848852
-53102.21365093862,0,51038.58852896641
